,Type Of Dwelling,General Zone Classification,Linear Feet of Street,Plot size in square feet,Type of road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to various conditions,Overall Rating(Material & Finishing),Rating Overall Condition of house,Original construction date,Remodel date of property,Type of Roof,Material used in Roof,Exterior Covering on the House,Evaluation of Quality of material on Exterior,Evaluation present condition of material on Exterior,Type of Foundation,Evaluation of hight of basement,Evaluation of condition of Basement,Exposure Walkout or garden-level walls,Basement Finished area rating,Finished square feet area in basement,"Basement Finished area rating,if multiple types","Finished square feet area in basement,type 2",Unfinished Basement area in square feet,Total Basement area in square feet,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical System,Area of 1st Floor in Square Feet,Area of 2nd Floor in Square Feet,Total living area in square feet,Full Bathrooms,Half Bathrooms,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(Excluded Bathrooms),Number of Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Car Parking capacity in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Fence Quality,Miscellaneous features,Value of miscellaneous feature in Dollars,Month and Year of sold,Type of Sale,Condition of Sale,Sale Price,Price per square foot of property(in $),Age of Property when sold(in years)
31,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8544,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Sawyer,Normal,Average,Above Average,1966,2006,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1228,1228,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1228,0,1228,1,1,3,1,Good,6,0,No Fireplace,Attached to the home,1966,Unfinished,1,271,Typical/Average,Typical/Average,Paved,0,65,0,0,0,Minimum Privacy,No Extra Feature,0,June 2008,Warranty Deed - Conventional,Normal Sale,149350,17.480102996254683,42
32,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,85,11049,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,College Creek,Normal,Very Good,Average,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,1234,1234,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1234,0,1234,2,0,3,1,Good,7,0,No Fireplace,Attached to the home,2007,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,0,30,0,0,0,No Fence,No Extra Feature,0,January 2008,Warranty Deed - Conventional,Normal Sale,179900,16.282016472078922,1
33,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,10552,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Average,1959,1959,Hip,Standard (Composite) Shingle,Brick Face,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,1018,Unfinished,0,380,1398,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1700,0,1700,1,1,4,1,Good,6,1,Good - Masonry Fireplace on the main level,Attached to the home,1959,Rough Finished,2,447,Typical/Average,Typical/Average,Paved,0,38,0,0,0,No Fence,No Extra Feature,0,April 2010,Warranty Deed - Conventional,Normal Sale,165500,15.684230477634571,51
34,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,60,7313,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Excellent,Average,2005,2005,Hip,Standard (Composite) Shingle,Metal Siding,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1153,Unfinished,0,408,1561,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1561,0,1561,2,0,2,1,Excellent,6,1,Good - Masonry Fireplace on the main level,Attached to the home,2005,Finished,2,556,Typical/Average,Typical/Average,Paved,203,47,0,0,0,No Fence,No Extra Feature,0,August 2007,Warranty Deed - Conventional,Normal Sale,277500,37.94612334199371,2
35,2-STORY 1946 & NEWER,Residential Low-Density,108,13418,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Very Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,1117,1117,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1132,1320,2452,3,1,4,1,Good,9,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2004,Finished,3,691,Typical/Average,Typical/Average,Paved,113,32,0,0,0,No Fence,No Extra Feature,0,September 2006,Warranty Deed - Conventional,Normal Sale,309000,23.02876732747056,2
36,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,112,10859,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,College Creek,Normal,Average,Average,1994,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1097,1097,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1097,0,1097,1,1,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1995,Unfinished,2,672,Typical/Average,Typical/Average,Paved,392,64,0,0,0,No Fence,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Normal Sale,145000,13.352979095681002,15
37,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,74,8532,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Above Average,1954,1990,Hip,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,1213,Unfinished,0,84,1297,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1297,0,1297,1,0,3,1,Average/Typical,5,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1954,Finished,2,498,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,October 2009,Warranty Deed - Conventional,Normal Sale,153000,17.932489451476794,55
38,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,7922,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Good,1953,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,731,Unfinished,0,326,1057,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1057,0,1057,1,0,3,1,Good,5,0,No Fireplace,Detached from home,1953,Unfinished,1,246,Typical/Average,Typical/Average,Paved,0,52,0,0,0,No Fence,No Extra Feature,0,January 2010,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",109000,13.759151729361273,57
40,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,84,8658,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Above Average,Average,1965,1965,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,643,Unfinished,0,445,1088,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1324,0,1324,2,0,3,1,Average/Typical,6,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1965,Rough Finished,2,440,Typical/Average,Typical/Average,Paved,0,138,0,0,0,Good Wood,No Extra Feature,0,December 2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",160000,18.48001848001848,41
41,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,115,16905,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Timberland,Normal,Average,Above Average,1959,1959,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Below Average Living Quarters,967,Unfinished,0,383,1350,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1328,0,1328,1,1,2,1,Average/Typical,5,2,Good - Masonry Fireplace on the main level,Attached to the home,1959,Rough Finished,1,308,Typical/Average,Typical/Average,Partial Pavement,0,104,0,0,0,No Fence,No Extra Feature,0,July 2007,Warranty Deed - Conventional,Normal Sale,170000,10.056196391600118,48
42,SPLIT FOYER,Residential Low-Density,0,9180,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Sawyer West,Normal,Average,Good,1983,1983,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Average Living Quarters,747,Low Quality,93,0,840,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,884,0,884,1,0,2,1,Good,5,0,No Fireplace,Attached to the home,1983,Rough Finished,2,504,Typical/Average,Good,Paved,240,0,0,0,0,Minimum Privacy,No Extra Feature,0,December 2007,Warranty Deed - Conventional,Normal Sale,144000,15.686274509803921,24
43,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9200,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,College Creek,Normal,Average,Above Average,1975,1980,Hip,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Low Quality,280,Below Average Living Quarters,491,167,938,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,938,0,938,1,0,3,1,Average/Typical,5,0,No Fireplace,Detached from home,1977,Unfinished,1,308,Typical/Average,Typical/Average,Paved,145,0,0,0,0,Minimum Privacy,No Extra Feature,0,July 2008,Warranty Deed - Conventional,Normal Sale,130250,14.157608695652174,33
44,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7945,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Above Average,1959,1959,Gable,Standard (Composite) Shingle,Brick Face & Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,179,Below Average Living Quarters,506,465,1150,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1150,0,1150,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1959,Rough Finished,1,300,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,May 2006,Warranty Deed - Conventional,Normal Sale,141000,17.74701069855255,47
45,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,61,7658,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Excellent,Average,2005,2005,Hip,Standard (Composite) Shingle,Metal Siding,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,456,Unfinished,0,1296,1752,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1752,0,1752,2,0,2,1,Excellent,6,1,Good - Masonry Fireplace on the main level,Attached to the home,2005,Rough Finished,2,576,Typical/Average,Typical/Average,Paved,196,82,0,0,0,No Fence,No Extra Feature,0,February 2010,Warranty Deed - Conventional,Normal Sale,319900,41.773308957952466,5
46,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,48,12822,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Mitchell,Normal,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1351,Unfinished,0,83,1434,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1518,631,2149,1,1,1,1,Good,6,1,Excellent - Exceptional Masonry Fireplace,Attached to the home,2003,Rough Finished,2,670,Typical/Average,Typical/Average,Paved,168,43,0,0,198,No Fence,No Extra Feature,0,August 2009,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",239686,18.693339572609577,6
47,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,84,11096,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,Normal,Very Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,24,Unfinished,0,1632,1656,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1656,0,1656,2,0,3,1,Good,7,0,No Fireplace,Attached to the home,2006,Rough Finished,3,826,Typical/Average,Typical/Average,Paved,0,146,0,0,0,No Fence,No Extra Feature,0,July 2007,Warranty Deed - Conventional,Normal Sale,249700,22.50360490266763,1
49,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,7742,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Average,Good,1966,1966,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,763,Unfinished,0,192,955,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,955,0,955,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1966,Unfinished,1,386,Typical/Average,Typical/Average,Paved,0,0,0,0,0,Minimum Privacy,No Extra Feature,0,January 2007,Warranty Deed - Conventional,Normal Sale,127000,16.404029966416946,41
50,2-STORY 1946 & NEWER,Residential Low-Density,0,13869,Paved,No Alley Access,Moderately Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Gilbert,Normal,Above Average,Above Average,1997,1997,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,182,Unfinished,0,612,794,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,794,676,1470,2,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1997,Finished,2,388,Typical/Average,Typical/Average,Paved,0,75,0,0,0,No Fence,No Extra Feature,0,July 2007,Warranty Deed - Conventional,Normal Sale,177000,12.762275578628596,10
51,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,52,6240,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Brookside,Normal,Above Average,Above Average,1934,1950,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,816,816,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,816,0,816,1,0,3,1,Average/Typical,6,1,Good - Masonry Fireplace on the main level,Detached from home,1985,Unfinished,2,528,Typical/Average,Typical/Average,Paved,112,0,0,0,0,Minimum Privacy,Shed (over 100 Square Feet),400,September 2006,Warranty Deed - Conventional,Normal Sale,114500,18.349358974358974,72
52,DUPLEX - ALL STYLES AND AGES,Residential Medium Density,110,8472,Gravel,No Alley Access,Moderately Irregular,Banked,All Public Utilities,Corner Plot,Moderate Slope,Iowa DOT and Rail Road,Within 200' of North-South Railroad & Normal,Average,Average,1963,1963,Gable,Standard (Composite) Shingle,Wood Siding,Fair,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Low Quality,104,Good Living Quarters,712,0,816,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,816,0,816,1,0,2,1,Average/Typical,5,0,No Fireplace,Car Port,1963,Unfinished,2,516,Typical/Average,Typical/Average,Paved,106,0,0,0,0,No Fence,No Extra Feature,0,May 2010,Warranty Deed - Conventional,Normal Sale,110000,12.983947119924457,47
53,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,50271,Paved,No Alley Access,Slightly Irregular,Depression,All Public Utilities,Inside Plot,Gentle Slope,Veenker,Normal,Excellent,Average,1981,1987,Gable,Wood Shingles,Wood Shingles,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1810,Unfinished,0,32,1842,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1842,0,1842,0,1,0,1,Good,5,1,Good - Masonry Fireplace on the main level,Attached to the home,1981,Finished,3,894,Typical/Average,Typical/Average,Paved,857,72,0,0,0,No Fence,No Extra Feature,0,November 2006,Warranty Deed - Conventional,Normal Sale,385000,7.658490978894393,25
54,SPLIT OR MULTI-LEVEL,Residential Low-Density,60,7134,Paved,No Alley Access,Regular,Banked,All Public Utilities,Inside Plot,Moderate Slope,North Ames,Normal,Average,Average,1955,1955,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,384,Unfinished,0,0,384,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1360,0,1360,1,0,3,1,Average/Typical,6,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1962,Unfinished,2,572,Typical/Average,Typical/Average,Paved,0,50,0,0,0,Minimum Privacy,No Extra Feature,0,February 2007,Warranty Deed - Conventional,Normal Sale,130000,18.22259601906364,52
55,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,100,10175,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Above Average,Average,1964,1964,Gable,Standard (Composite) Shingle,Hard Board & Plywood,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,490,Unfinished,0,935,1425,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1425,0,1425,2,0,3,1,Average/Typical,7,1,Good - Masonry Fireplace on the main level,Attached to the home,1964,Rough Finished,2,576,Typical/Average,Typical/Average,Paved,0,0,0,407,0,No Fence,No Extra Feature,0,July 2008,Warranty Deed - Conventional,Normal Sale,180500,17.73955773955774,44
56,2-STORY PUD - 1946 & NEWER,Floating Village Residential,24,2645,Paved,Paved,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,Normal,Very Good,Average,1999,2000,Gable,Standard (Composite) Shingle,Metal Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,649,Unfinished,0,321,970,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,983,756,1739,2,1,3,1,Good,7,0,No Fireplace,Attached to the home,1999,Finished,2,480,Typical/Average,Typical/Average,Paved,115,0,0,0,0,No Fence,No Extra Feature,0,August 2009,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",172500,65.21739130434783,10
